# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.300000e+01
# lRef        : 1.500000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	9.364118e-01	1.021696e+01	2.553790e+00	2.213307e+00	3.404830e-01
2             	5.099138e-01	6.115124e+00	1.192388e+00	1.106108e+00	8.628011e-02
3             	2.689051e-01	3.187769e+00	3.762070e-01	4.570086e-01	-8.080157e-02
4             	2.500187e-01	2.461637e+00	3.355303e-01	4.177838e-01	-8.225354e-02
5             	2.436067e-01	2.017234e+00	3.280905e-01	4.076520e-01	-7.956149e-02
6             	2.523324e-01	1.798831e+00	3.302424e-01	4.174536e-01	-8.721123e-02
7             	2.667814e-01	1.700992e+00	3.378077e-01	4.356853e-01	-9.787755e-02
8             	2.795761e-01	1.669729e+00	3.448473e-01	4.519997e-01	-1.071524e-01
9             	2.887747e-01	1.660135e+00	3.530974e-01	4.653234e-01	-1.122260e-01
10            	2.944766e-01	1.654843e+00	3.643285e-01	4.766408e-01	-1.123123e-01
11            	2.973629e-01	1.649369e+00	3.781342e-01	4.864300e-01	-1.082958e-01
12            	2.986919e-01	1.640857e+00	3.935562e-01	4.954700e-01	-1.019138e-01
13            	2.990559e-01	1.628214e+00	4.102054e-01	5.041586e-01	-9.395323e-02
14            	2.984401e-01	1.610824e+00	4.278525e-01	5.123664e-01	-8.451388e-02
15            	2.966701e-01	1.590035e+00	4.456163e-01	5.194782e-01	-7.386193e-02
16            	2.943597e-01	1.568062e+00	4.629087e-01	5.258141e-01	-6.290538e-02
17            	2.921577e-01	1.546702e+00	4.793258e-01	5.318206e-01	-5.249477e-02
18            	2.905571e-01	1.527309e+00	4.940988e-01	5.376065e-01	-4.350772e-02
19            	2.897364e-01	1.510724e+00	5.065125e-01	5.429926e-01	-3.648015e-02
20            	2.897854e-01	1.497004e+00	5.161726e-01	5.478717e-01	-3.169914e-02
21            	2.905293e-01	1.485918e+00	5.234474e-01	5.522530e-01	-2.880560e-02
22            	2.917685e-01	1.477304e+00	5.287154e-01	5.561262e-01	-2.741080e-02
23            	2.932664e-01	1.471013e+00	5.324808e-01	5.595068e-01	-2.702597e-02
24            	2.948944e-01	1.466607e+00	5.351432e-01	5.624660e-01	-2.732278e-02
25            	2.965147e-01	1.463679e+00	5.370903e-01	5.650599e-01	-2.796958e-02
26            	2.980851e-01	1.461938e+00	5.386558e-01	5.674130e-01	-2.875719e-02
27            	2.995599e-01	1.461084e+00	5.399686e-01	5.695442e-01	-2.957565e-02
28            	3.009663e-01	1.461045e+00	5.412132e-01	5.715729e-01	-3.035969e-02
29            	3.022715e-01	1.461607e+00	5.424091e-01	5.734761e-01	-3.106697e-02
30            	3.034790e-01	1.462550e+00	5.436176e-01	5.752878e-01	-3.167014e-02
31            	3.045769e-01	1.463640e+00	5.448366e-01	5.769952e-01	-3.215861e-02
32            	3.055724e-01	1.464716e+00	5.460915e-01	5.786181e-01	-3.252666e-02
33            	3.064439e-01	1.465584e+00	5.473422e-01	5.801150e-01	-3.277286e-02
34            	3.071844e-01	1.466089e+00	5.486080e-01	5.814884e-01	-3.288039e-02
35            	3.077702e-01	1.466263e+00	5.498958e-01	5.827181e-01	-3.282228e-02
36            	3.082313e-01	1.466146e+00	5.511885e-01	5.838255e-01	-3.263707e-02
